Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Minimum temperature (°C)_bins,Maximum temperature (°C)_bins,Rainfall (mm)_bins,Speed of maximum wind gust (km/h)_bins,9am Temperature (°C)_bins,9am relative humidity (%)_bins,9am wind speed (km/h)_bins,9am MSL pressure (hPa)_bins,3pm Temperature (°C)_bins,3pm relative humidity (%)_bins,3pm wind speed (km/h)_bins,3pm MSL pressure (hPa)_bins,Minimum temperature (°C)_MA_24_bins,Maximum temperature (°C)_MA_24_bins,Rainfall (mm)_MA_24_bins,Speed of maximum wind gust (km/h)_MA_24_bins,9am Temperature (°C)_MA_24_bins,9am relative humidity (%)_MA_24_bins,9am wind speed (km/h)_MA_24_bins,9am MSL pressure (hPa)_MA_24_bins,3pm Temperature (°C)_MA_24_bins,3pm relative humidity (%)_MA_24_bins,3pm wind speed (km/h)_MA_24_bins,3pm MSL pressure (hPa)_MA_24_bins,Demand_bins
2022-12-18,11.7,23.7,0.0,37.0,16.5,54,15,1024.9,22.6,41.0,17.0,1021.6,159249.92,11.825000000000001,21.2125,1.483333333333334,38.833333333333336,16.079166666666666,64.04166666666667,11.375,1013.9541666666669,19.79166666666666,51.875,14.875,1012.5166666666668,3,3,0,4,4,3,10,10,5,2,10,8,0,0,2,9,1,0,5,3,0,3,5,3,0
2022-12-19,9.8,26.0,0.0,33.0,16.6,67,4,1025.5,22.4,39.0,17.0,1022.3,192161.49,11.75,21.437499999999996,1.483333333333334,39.291666666666664,16.175,63.708333333333336,11.166666666666666,1014.1125000000002,19.924999999999994,51.375,15.333333333333334,1012.6125000000001,1,4,0,3,4,6,2,10,4,1,10,9,0,0,2,9,1,0,5,3,0,3,5,3,3
2022-12-20,10.2,27.3,0.0,31.0,16.4,64,7,1022.0,26.3,32.0,15.0,1017.6,199467.37,11.720833333333333,21.437499999999996,1.483333333333334,38.333333333333336,16.15833333333333,63.625,11.0,1014.5333333333334,19.895833333333325,51.333333333333336,15.125,1013.1541666666667,2,5,0,3,4,5,4,9,6,0,8,7,0,0,2,9,1,0,5,3,0,3,5,4,4
2022-12-21,12.9,29.4,0.0,30.0,18.2,64,7,1015.3,28.2,27.0,11.0,1011.6,213997.91,11.645833333333334,21.808333333333326,1.4750000000000005,38.041666666666664,16.249999999999996,63.333333333333336,10.916666666666666,1014.9833333333335,20.258333333333326,50.333333333333336,15.208333333333334,1013.4833333333332,3,5,0,3,5,5,4,6,7,0,6,5,0,1,2,8,1,0,5,4,1,2,5,4,5
2022-12-22,16.8,25.2,5.2,26.0,17.4,91,6,1011.6,21.5,82.0,4.0,1008.5,221897.15,11.941666666666668,22.075,1.6833333333333338,37.833333333333336,16.391666666666662,64.58333333333333,10.708333333333334,1015.0875000000001,20.39999999999999,51.833333333333336,15.083333333333334,1013.5041666666666,6,4,11,2,5,11,4,5,4,7,1,4,0,1,3,8,1,1,4,4,1,3,5,4,6
2022-12-23,15.7,23.1,1.6,28.0,18.2,97,4,1011.7,20.2,76.0,13.0,1009.7,205399.43,12.0875,22.270833333333332,1.733333333333334,37.625,16.504166666666663,65.91666666666667,10.416666666666666,1014.9250000000002,20.50416666666666,52.833333333333336,15.083333333333334,1013.2041666666665,5,3,3,2,5,12,2,5,4,6,7,4,0,1,3,8,1,2,4,4,1,3,5,4,4
2022-12-24,16.7,23.5,0.0,31.0,18.9,66,9,1011.7,21.6,53.0,13.0,1010.8,178625.36,12.299999999999999,22.483333333333334,1.733333333333334,37.625,16.624999999999996,66.25,10.416666666666666,1014.5875000000002,20.658333333333328,52.875,15.25,1012.9166666666665,6,3,0,3,6,5,6,5,4,3,7,4,0,1,3,8,1,2,4,3,1,4,5,4,2
2022-12-25,12.9,31.9,0.0,24.0,19.5,66,7,1013.1,30.3,31.0,11.0,1012.3,182750.79,12.33333333333333,23.02916666666667,1.733333333333334,37.166666666666664,16.72916666666666,65.95833333333333,10.25,1014.3500000000003,21.166666666666657,51.541666666666664,15.0,1012.6916666666665,3,6,0,2,6,5,4,6,8,0,6,5,0,1,3,7,1,2,4,3,1,3,5,3,2
2022-12-26,17.0,27.5,0.0,28.0,22.6,58,11,1016.6,23.6,67.0,13.0,1016.6,211616.9,12.649999999999999,23.283333333333335,1.733333333333334,37.25,17.04583333333333,65.29166666666667,10.458333333333334,1014.2791666666668,21.299999999999994,51.75,15.0,1012.7416666666663,6,5,0,2,8,4,7,7,5,5,7,7,0,1,3,7,1,1,4,3,1,3,5,3,5
2022-12-27,17.7,37.3,0.0,33.0,25.1,62,7,1018.1,36.5,26.0,15.0,1013.1,256405.63,12.820833333333331,23.545833333333334,1.733333333333334,37.333333333333336,17.204166666666662,65.04166666666667,10.458333333333334,1014.3791666666667,21.620833333333326,51.083333333333336,15.083333333333334,1012.7458333333329,6,8,0,3,10,5,4,7,10,0,8,5,1,1,3,8,1,1,4,3,1,3,5,3,10
